particleNum,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,Skew,Kurt,%Area,RawIntDen,AR,Round,Solidity,colocalized
203,0.04,255,0,255,255,255,72.407,78.68,0.326,10.16,255,NaN,NaN,100,2040,1.272,0.786,0.571,no
204,0.025,255,0,255,255,255,83,79.288,0.403,6.35,255,NaN,NaN,100,1275,2.645,0.378,0.588,no
205,0.02,255,0,255,255,255,78.265,79.359,0.513,5.08,255,NaN,NaN,100,1020,3.873,0.258,0.571,no
206,0.015,255,0,255,255,255,56.564,79.476,0.754,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
207,0.025,255,0,255,255,255,54.051,79.937,0.572,6.35,255,NaN,NaN,100,1275,2.165,0.462,0.588,no
208,0.015,255,0,255,255,255,83.193,79.994,0.643,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
209,0.015,255,0,255,255,255,54.235,80.206,0.809,3.81,255,NaN,NaN,100,765,3,0.333,1,no
210,0.015,255,0,255,255,255,83.099,80.417,0.809,3.81,255,NaN,NaN,100,765,3,0.333,1,no
211,0.015,255,0,255,255,255,83.099,80.653,0.524,3.81,255,NaN,NaN,100,765,1.567,0.638,0.6,no
212,0.015,255,0,255,255,255,83.076,80.982,0.524,3.81,255,NaN,NaN,100,765,1.567,0.638,0.6,no
213,0.025,255,0,255,255,255,91.582,81.772,0.491,6.35,255,NaN,NaN,100,1275,2.496,0.401,0.588,no
214,0.02,255,0,255,255,255,91.286,81.811,0.457,5.08,255,NaN,NaN,100,1020,1.15,0.87,0.571,no
